,year,month,day,temp,wind,humidity,barometer,visibility,Elec_kW,Gas_mxm,cum_power
2578,2019,3,14,8.934782608695652,25.23913043478261,75.04347826086956,1004.4347826086956,11.051717775182741,12.0,15.0,7.0
2579,2019,3,15,10.41304347826087,23.282608695652176,85.15217391304348,1006.5,9.651418414549955,12.0,12.0,2.0
2580,2019,3,16,10.822222222222223,24.68888888888889,76.95555555555555,1006.6,9.90803647095678,15.0,12.0,4.0
2581,2019,3,17,7.541666666666667,24.25,73.72916666666667,1003.7708333333334,10.99963118909828,4.0,14.0,13.0
2582,2019,3,18,5.9787234042553195,14.914893617021276,71.8936170212766,1018.7021276595744,12.396177221824052,4.0,14.0,14.0
2583,2019,3,19,6.25531914893617,7.319148936170213,75.7872340425532,1028.0,13.111880037760503,9.0,11.0,6.0
2584,2019,3,20,10.347826086956522,8.717391304347826,78.8913043478261,1032.9347826086957,11.876678580875751,9.0,11.0,10.0
2585,2019,3,21,9.148936170212766,6.76595744680851,85.19148936170212,1033.8085106382978,6.630959199073037,-6.0,9.0,19.0
2586,2019,3,22,9.808510638297872,8.191489361702128,81.57446808510639,1029.2340425531916,4.962581101432436,-4.0,10.0,19.0
2587,2019,3,23,9.914893617021276,9.97872340425532,79.0,1030.1063829787233,6.599776783600067,15.0,10.0,3.0
2588,2019,3,24,7.787234042553192,11.787234042553191,67.08510638297872,1028.276595744681,12.846655069096048,-11.0,10.0,21.0
2589,2019,3,25,7.869565217391305,24.97826086956522,72.28260869565217,1026.4782608695652,11.351190345619587,9.0,12.0,10.0
2590,2019,3,26,8.25531914893617,13.02127659574468,69.95744680851064,1032.2340425531916,11.382602065462073,6.0,11.0,12.0
2591,2019,3,27,9.083333333333334,6.104166666666667,70.35416666666667,1033.7291666666667,11.147978186674576,6.0,11.0,7.0
2592,2019,3,28,9.681818181818182,5.113636363636363,73.93181818181819,1034.9545454545455,10.968643850584787,8.0,9.0,7.0
2593,2019,3,29,10.045454545454545,5.295454545454546,74.31818181818181,1029.25,8.585812232729431,-4.0,9.0,21.0
2594,2019,3,30,12.043478260869565,6.934782608695652,65.47826086956522,1021.5869565217391,12.270235230359294,1.0,7.0,18.0
2595,2019,4,1,8.91304347826087,13.694051303976893,61.30434782608695,1020.1086956521739,14.734255179132496,-3.0,10.0,21.0
2596,2019,4,2,9.354166666666666,11.708333333333334,78.60416666666667,1005.8958333333334,12.332609313943708,10.0,11.0,10.0
2597,2019,4,3,6.617021276595745,11.914893617021276,81.61702127659575,1000.8297872340426,12.31840951211272,2.0,10.0,15.0
2598,2019,4,4,5.23404255319149,7.361702127659575,80.36170212765957,1000.1063829787234,11.282092803717953,7.0,13.0,10.0
2599,2019,4,5,7.468085106382978,9.808510638297872,73.57446808510639,1005.1276595744681,8.603808886349068,3.0,12.0,14.0
2600,2019,4,6,10.55813953488372,8.534883720930232,73.5813953488372,1004.3720930232558,8.124696922115973,3.0,9.0,13.0
2601,2019,4,7,14.127659574468085,7.51063829787234,71.57446808510639,1004.7021276595744,6.9977956196544095,1.0,7.0,15.0
2602,2019,4,8,11.5,7.659090909090909,86.02272727272727,1010.0,2.3636363636363638,4.0,7.0,12.0
2603,2019,4,9,11.217391304347826,11.73913043478261,76.15217391304348,1011.4565217391304,8.284105498816105,2.0,10.0,20.0
2604,2019,4,10,8.4,17.644444444444446,58.15555555555556,1015.6222222222223,14.588502745214422,0.0,10.0,20.0
2605,2019,4,11,6.326086956521739,14.043478260869565,59.15217391304348,1022.7608695652174,12.893171803325219,-11.0,8.0,19.0
2606,2019,4,12,5.377777777777778,12.488888888888889,56.333333333333336,1024.9555555555555,13.765129346589497,5.0,13.0,12.0
2607,2019,4,13,3.872340425531915,13.148936170212766,65.34042553191489,1025.2553191489362,12.959274530914046,3.0,13.0,16.0
2608,2019,4,14,4.630434782608695,10.73913043478261,71.47826086956522,1024.608695652174,10.752245204745895,7.0,13.0,14.0
2609,2019,4,15,8.744186046511627,13.279069767441861,64.5813953488372,1022.4883720930233,14.39975601928379,-7.0,10.0,23.0
2610,2019,4,16,12.617021276595745,12.680851063829786,57.46808510638298,1015.4468085106383,13.860230225458034,0.0,8.0,14.0
2611,2019,4,17,12.191489361702128,7.1063829787234045,75.57446808510639,1020.2340425531914,11.265587734779764,8.0,6.0,10.0
2612,2019,4,18,15.023255813953488,12.767441860465116,57.48837209302326,1023.0930232558139,12.582996580128853,-11.0,5.0,24.0
2613,2019,4,19,17.288888888888888,11.88888888888889,43.44444444444444,1026.3555555555556,14.588502745214418,-11.0,3.0,23.0
2614,2019,4,20,17.914893617021278,8.97872340425532,44.0,1027.3617021276596,14.198088610912027,-8.0,2.0,24.0
2615,2019,4,21,17.361702127659573,7.808510638297872,42.659574468085104,1019.8085106382979,13.860230225458029,-17.0,1.0,24.0
2616,2019,4,22,17.543478260869566,11.304347826086957,43.891304347826086,1007.6521739130435,14.504119757156586,0.0,1.0,20.0
2617,2019,4,23,15.666666666666666,14.88888888888889,50.8,998.2,14.941377058910815,-5.0,4.0,17.0
2618,2019,4,24,16.08695652173913,17.217391304347824,69.19565217391305,998.0,13.202394885062288,-6.0,2.0,21.0
2619,2019,4,25,11.521739130434783,14.130434782608695,82.58695652173913,1004.4347826086956,13.478631521900418,8.0,6.0,8.0
2620,2019,4,26,12.638297872340425,12.340425531914894,66.7872340425532,1012.0,13.409752378186038,-6.0,7.0,21.0
2621,2019,4,27,11.272727272727273,19.613636363636363,65.63636363636364,1011.7954545454545,11.052891243642833,2.0,7.0,15.0
2622,2019,4,28,8.733333333333333,10.377777777777778,81.97777777777777,1017.4888888888889,10.832174902309932,13.0,10.0,8.0
2623,2019,4,29,9.630434782608695,6.8478260869565215,76.45652173913044,1024.3695652173913,6.9748824170790416,-1.0,8.0,17.0
2624,2019,4,30,11.53191489361702,9.319148936170214,77.63829787234043,1023.3191489361702,10.670568586159312,4.0,7.0,10.0
2625,2019,5,1,11.044444444444444,7.644444444444445,72.55555555555556,1018.0222222222222,8.410724967436643,-4.0,6.0,22.0
2626,2019,5,2,9.911111111111111,10.355555555555556,86.73333333333333,1012.2444444444444,4.9478907190318395,4.0,8.0,10.0
2627,2019,5,3,9.717391304347826,10.021739130434783,73.3695652173913,1013.1086956521739,10.890919501667767,5.0,9.0,11.0
2628,2019,5,4,6.875,16.604166666666668,75.4375,1012.9583333333334,10.524057414552102,-4.0,12.0,23.0
2629,2019,5,5,7.851063829787234,15.191489361702128,67.25531914893617,1021.468085106383,12.162134668632563,-8.0,9.0,20.0
2630,2019,5,6,8.08695652173913,12.630434782608695,67.17391304347827,1021.304347826087,11.596692839216235,11.0,12.0,10.0
2631,2019,5,7,9.511111111111111,6.933333333333334,60.51111111111111,1016.6888888888889,12.961296928327638,-2.0,9.0,17.0
2632,2019,5,8,10.645833333333334,13.958333333333334,78.95833333333333,1000.1041666666666,11.778729534550125,6.0,9.0,9.0
2633,2019,5,9,11.434782608695652,10.804347826086957,79.19565217391305,997.7173913043479,12.163036381349311,4.0,8.0,13.0
2634,2019,5,10,11.340425531914894,9.76595744680851,81.53191489361703,1008.5957446808511,10.153331039077074,3.0,8.0,14.0
2635,2019,5,11,11.659574468085106,15.23404255319149,70.02127659574468,1015.8723404255319,11.02310431814809,-6.0,7.0,24.0
2636,2019,5,12,10.333333333333334,11.75,61.0625,1033.75,11.919890747885438,-6.0,7.0,23.0
2637,2019,5,13,10.957446808510639,12.553191489361701,56.170212765957444,1038.531914893617,12.621416145460051,-13.0,6.0,29.0
